name,needsRename,needsEscape,isBoolean
accept,false,false,false
accept-charset,false,false,false
accesskey,false,false,false
action,false,false,false
align,false,false,false
allow,false,false,false
alt,false,false,false
async,true,false,true
autocapitalize,false,false,true
autocomplete,false,false,true
autofocus,false,false,false
autoplay,false,false,false
bgcolor,false,false,false
border,false,false,false
buffered,false,false,true
challenge,false,false,false
charset,false,false,false
checked,false,true,true
cite,false,false,false
class,false,true,false
code,false,false,false
codebase,false,false,false
color,false,false,false
cols,false,false,false
colspan,false,false,false
content,false,false,false
contenteditable,false,false,false
contextmenu,false,false,false
controls,false,false,false
coords,false,false,false
crossorigin,false,false,false
csp,false,false,false
data,false,false,false
datetime,false,false,false
decoding,false,false,false
default,false,true,false
defer,false,false,false
dir,false,false,false
dirname,false,false,false
disabled,false,false,false
download,false,false,false
draggable,false,false,false
dropzone,false,false,false
enctype,false,false,false
for,false,true,false
form,false,false,false
formaction,false,false,false
headers,false,false,false
height,false,false,false
hidden,false,false,false
high,false,false,false
href,false,false,false
hreflang,false,false,false
http-equiv,false,false,false
icon,false,false,false
id,false,false,false
importance,false,false,false
integrity,false,false,false
ismap,false,false,false
itemprop,false,false,false
keytype,false,false,false
kind,false,false,false
label,false,false,false
lang,false,false,false
language,false,false,false
lazyload,false,false,true
list,false,false,false
loop,false,false,false
low,false,false,false
manifest,false,false,false
max,false,false,false
maxlength,false,false,false
media,false,false,false
method,false,false,false
min,false,false,false
minlength,false,false,false
multiple,false,false,true
muted,false,false,true
name,false,false,false
novalidate,false,false,true
open,false,true,false
optimum,false,false,false
pattern,false,false,false
ping,false,false,false
placeholder,false,false,false
poster,false,false,false
preload,false,false,true
readonly,false,false,true
rel,false,false,false
required,false,false,true
reversed,false,false,true
rows,false,false,false
rowspan,false,false,false
sandbox,false,false,false
scope,false,false,false
selected,false,false,true
shape,false,false,false
size,false,false,false
sizes,false,false,false
slot,false,false,false
span,false,false,false
spellcheck,false,false,false
src,false,false,false
srcdoc,false,false,false
srclang,false,false,false
srcset,false,false,false
start,false,false,false
step,false,false,false
style,false,false,false
summary,false,false,false
tabindex,false,false,false
target,false,false,false
title,false,false,false
translate,false,false,false
type,false,true,false
usemap,false,false,false
value,false,false,false
width,false,false,false
wrap,false,false,false
